initial_weight,weight,none-anonymity,mean,mean-min,max-mean,median,median-min,max-median
11,1,0,13.759504287379293,11.203948731823738,23.240495712620707,11.666666666666666,9.11111111111111,25.333333333333336
11,1,0,14.434959429459433,12.101626096126099,31.565040570540567,12.0,9.666666666666666,34.0
11,1,0,14.12781927794428,12.309637459762461,33.87218072205572,12.0,10.181818181818182,36.0
11,1,0,14.387302794427788,12.253969461094455,35.61269720557221,12.0,9.866666666666667,38.0
11,1,0,14.212537642912652,11.545870976245986,27.78746235708735,12.0,9.333333333333334,30.0
11,1,0,14.178567196692198,11.749995768120769,35.8214328033078,12.0,9.571428571428571,38.0
11,1,0,13.978303585303584,11.692589299589297,36.021696414696414,12.0,9.714285714285715,38.0
11,1,0,14.281814449439455,12.138957306582313,30.718185550560545,13.0,10.857142857142858,32.0
11,1,0,14.058467768342782,12.058467768342782,29.94153223165722,12.0,10.0,32.0
11,1,0,14.2742224997225,12.131365356865357,39.7257775002775,12.5,10.357142857142858,41.5
11,1,0,14.228207098457098,11.894873765123764,26.771792901542902,12.5,10.166666666666666,28.5
11,1,0,14.494308039183034,12.263538808413802,28.505691960816968,13.0,10.76923076923077,30.0
11,1,0,14.702991799866798,12.975719072594071,29.297008200133202,12.5,10.772727272727273,31.5
11,1,0,14.563188200688206,12.48626512376513,28.436811799311794,11.8,9.723076923076924,31.2
11,1,0,14.62710618548119,12.62710618548119,32.37289381451881,14.0,12.0,33.0
11,1,0,14.25650134587635,12.25650134587635,27.74349865412365,13.0,11.0,29.0
11,1,0,14.455047299922299,12.364138209013209,30.5449527000777,12.5,10.40909090909091,32.5
11,1,0,14.325889874014877,11.992556540681543,33.67411012598512,11.5,9.166666666666666,36.5
11,1,0,14.673284992784986,12.539951659451653,34.326715007215014,13.0,10.866666666666667,36.0
11,1,0,14.246870684870675,12.03258497058496,38.75312931512933,11.25,9.035714285714285,41.75
11,1,0,14.32635646298146,11.92635646298146,30.673643537018542,13.0,10.6,32.0
11,1,0,14.177240648240648,12.105812076812077,45.82275935175935,12.0,9.928571428571429,48.0
11,1,0,14.434319277944292,12.161592005217019,33.56568072205571,12.0,9.727272727272727,36.0
11,1,0,14.515673520923526,12.746442751692758,36.48432647907647,12.5,10.73076923076923,38.5
11,1,0,14.305884754134752,12.139218087468086,26.694115245865248,13.0,10.833333333333334,28.0
11,1,0,14.433834859584856,12.51716819291819,47.566165140415144,12.0,10.083333333333334,50.0
11,1,0,14.207716158841158,12.291049492174492,31.79228384115884,13.5,11.583333333333334,32.5
11,1,0,14.387276917526922,12.253943584193589,29.612723082473078,12.0,9.866666666666667,32.0
11,1,0,14.249042499167501,12.06722431734932,28.7509575008325,12.0,9.818181818181818,31.0
11,1,0,14.60859240759241,12.775259074259075,31.39140759240759,13.0,11.166666666666666,33.0
11,1,0,14.310223984348989,12.226890651015655,36.68977601565101,13.0,10.916666666666666,38.0
11,1,0,13.999706793206792,11.922783716283716,34.00029320679321,12.0,9.923076923076923,36.0
11,1,0,14.343940115440114,12.743940115440115,35.65605988455989,12.0,10.4,38.0
11,1,0,14.216607475857481,12.489334748584755,24.78339252414252,12.5,10.772727272727273,26.5
11,1,0,14.51263873626373,12.76263873626373,29.48736126373627,13.0,11.25,31.0
11,1,0,14.921469627594627,12.754802960927961,40.078530372405375,13.0,10.833333333333334,42.0
11,1,0,14.480100330225333,11.908671758796762,43.51989966977467,12.0,9.428571428571429,46.0
11,1,0,14.222331918081919,11.865189060939061,30.77766808191808,13.0,10.642857142857142,32.0
11,1,0,14.06001859251859,11.726685259185256,26.93998140748141,12.0,9.666666666666666,29.0
11,1,0,14.377784895659888,12.092070609945601,29.622215104340114,13.0,10.714285714285715,31.0
11,1,0,14.1242673992674,12.257600732600732,23.8757326007326,12.0,10.133333333333333,26.0
11,1,0,14.385922438672438,12.385922438672438,35.61407756132756,12.0,10.0,38.0
11,1,0,14.7753267010767,12.641993367743368,35.2246732989233,12.0,9.866666666666667,38.0
11,1,0,14.426565947940956,12.283708805083814,28.573434052059042,13.0,10.857142857142858,30.0
11,1,0,14.453961038961046,12.311103896103903,29.546038961038953,12.0,9.857142857142858,32.0
11,1,0,14.583435231435235,12.483435231435235,50.41656476856477,12.5,10.4,52.5
11,1,0,14.523881798756804,12.94054846542347,28.476118201243196,12.0,10.416666666666666,31.0
11,1,0,14.194628121878134,12.194628121878134,25.805371878121868,12.0,10.0,28.0
11,1,0,14.195958680208673,11.945958680208673,25.804041319791327,12.0,9.75,28.0
11,1,0,14.226442626817624,11.601442626817624,37.77355737318238,11.5,8.875,40.5
11,1,0,14.225825202575203,12.059158535908537,39.7741747974248,11.5,9.333333333333334,42.5
11,1,0,14.461592463092465,12.390163891663894,33.538407536907535,12.0,9.928571428571429,36.0
11,1,0,14.47670430957931,12.553627386502386,21.52329569042069,13.0,11.076923076923077,23.0
