seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
40,34,5,0,13.853079281829284,11.5,7.6948826104451005,2.142857142857143,42.0,39.857142857142854,14.0,8.0,5.6,2.2
63,34,5,0,14.35234272671773,12.0,8.152555536824291,1.5,51.0,49.5,29.0,5.2,3.2,3.4
16,34,5,0,14.300146617271619,11.0,8.509381240009992,2.5384615384615383,47.0,44.46153846153846,22.0,7.0,2.9,2.8666666666666667
90,34,5,0,14.232148310023298,12.0,7.859638385780889,2.125,48.0,45.875,18.0,6.6,3.1,2.8666666666666667
41,34,5,0,14.147446456321463,11.5,8.167940693195696,2.272727272727273,44.0,41.72727272727273,24.0,8.2,3.9,3.6666666666666665
64,34,5,0,13.612373348873358,11.0,7.3817301204351295,2.3636363636363638,37.0,34.63636363636363,22.0,10.6,4.2,4.266666666666667
17,34,5,0,13.961661352536353,12.0,7.619888169191921,2.533333333333333,41.0,38.46666666666667,24.0,4.0,3.8,2.533333333333333
42,34,5,0,13.880069638694641,12.0,7.4772053846153925,2.625,45.0,42.375,11.0,7.0,3.5,2.7333333333333334
91,34,5,0,14.327915972915976,11.5,8.40299226329225,2.1333333333333333,47.0,44.86666666666667,21.0,3.8,3.4,2.1333333333333333
65,34,5,0,14.27159201909202,12.5,8.16501046453546,2.3333333333333335,59.0,56.666666666666664,15.0,7.4,4.2,2.533333333333333
18,34,5,0,13.850392454767462,12.5,7.399817381923632,2.272727272727273,44.0,41.72727272727273,44.0,5.4,2.9,3.4
43,34,5,0,13.7383128954379,11.5,7.473633221361979,1.4444444444444444,52.0,50.55555555555556,22.0,8.2,3.3,3.8
19,34,5,0,14.21657074869575,12.0,8.158909108530372,1.75,65.0,63.25,21.0,6.4,3.8,2.6
92,34,5,0,14.243871239871243,12.0,8.275025583305581,1.9090909090909092,51.0,49.09090909090909,26.0,5.4,4.4,4.2
66,34,5,0,13.810717796092804,11.5,7.719223206654458,1.6666666666666667,42.0,40.333333333333336,10.0,6.8,3.9,3.4
20,34,5,0,14.62640324952826,12.0,8.528821270396275,1.6923076923076923,51.0,49.30769230769231,21.0,6.0,4.5,2.2666666666666666
44,34,5,0,14.4701358918859,11.5,8.554787209734725,1.9166666666666667,46.0,44.083333333333336,30.0,7.0,4.7,3.2666666666666666
67,34,5,0,14.057495698745702,11.333333333333334,8.143370279720285,1.5,49.0,47.5,31.0,5.8,3.6,3.7333333333333334
